country,mode_year,missing_year_count,imputed_news_neighbor_count,unmatched_images_count,imputed_by_numeric_nearest_count,imputed_by_mode_year_count,cy_rows_post2000,cy_years_post2000,people_total_post2000,images_people_post2000,has_any_people_post2000,vdem_match_rate_post2000,has_any_vdem_post2000
MDA,2021.0,0,0,0,0,0,11.0,11.0,147159.0,26278.0,True,1.0,True
MDG,,673,0,686,0,0,4.0,4.0,3371.0,396.0,True,1.0,True
MDG,2024.0,0,0,0,0,0,4.0,4.0,3371.0,396.0,True,1.0,True
MDV,2024.0,2,2,0,0,0,16.0,16.0,88805.0,15288.0,True,1.0,True
MDV,2021.0,0,0,0,0,0,16.0,16.0,88805.0,15288.0,True,1.0,True
MEX,2021.0,0,0,0,0,0,10.0,10.0,98696.0,14246.0,True,1.0,True
MEX,2019.0,0,0,0,0,0,10.0,10.0,98696.0,14246.0,True,1.0,True
MKD,2022.0,0,0,0,0,0,6.0,6.0,8756.0,1551.0,True,1.0,True
MNE,2019.0,0,0,0,0,0,13.0,13.0,30896.0,4139.0,True,1.0,True
MNG,2024.0,0,0,0,0,0,5.0,5.0,9156.0,1512.0,True,1.0,True
MOZ,2024.0,0,0,0,0,0,1.0,1.0,279.0,45.0,True,1.0,True
MRT,2022.0,55,55,0,0,0,6.0,6.0,8251.0,1091.0,True,1.0,True
MRT,2023.0,0,0,0,0,0,6.0,6.0,8251.0,1091.0,True,1.0,True
MYS,2024.0,0,0,0,0,0,,,,,,,
NER,2024.0,39,39,0,0,0,4.0,4.0,253.0,34.0,True,1.0,True
NGA,2023.0,0,0,0,0,0,3.0,3.0,1817.0,364.0,True,1.0,True
NLD,2022.0,0,0,0,0,0,14.0,14.0,7930.0,1371.0,True,1.0,True
NLD,2017.0,0,0,0,0,0,14.0,14.0,7930.0,1371.0,True,1.0,True
NLD,2016.0,0,0,0,0,0,14.0,14.0,7930.0,1371.0,True,1.0,True
NOR,2022.0,0,0,0,0,0,4.0,4.0,2153.0,418.0,True,1.0,True
NPL,2017.0,0,0,0,0,0,6.0,6.0,586.0,77.0,True,1.0,True
NZL,2016.0,300,300,0,0,0,22.0,22.0,1415.0,353.0,True,1.0,True
NZL,2024.0,0,0,0,0,0,22.0,22.0,1415.0,353.0,True,1.0,True
OMN,2023.0,0,0,0,0,0,5.0,5.0,16235.0,2540.0,True,1.0,True
PAK,2021.0,0,0,0,0,0,2.0,2.0,89.0,11.0,True,1.0,True
PAN,2022.0,0,0,0,0,0,15.0,15.0,120757.0,16393.0,True,1.0,True
PER,2024.0,0,0,0,0,0,7.0,7.0,245481.0,31415.0,True,1.0,True
