country,year,n_images_all,n_images_people,n_male,n_female,n_people,female_ratio_totals,female_ratio_meanimg
COL,2015,803,715,5193,1601,6794,0.23564910214895496,0.31109661421309737
COL,2016,1752,1574,11393,3437,14830,0.23175994605529332,0.27319294483915735
COL,2017,1831,1661,12084,3713,15797,0.2350446287269735,0.2755567517497238
COL,2018,1774,1650,11663,3492,15155,0.2304190036291653,0.2562298533167164
COL,2019,1380,1191,7686,2458,10144,0.24231072555205047,0.24652790315368242
COL,2020,525,385,1727,558,2285,0.24420131291028446,0.32744562197639643
COL,2021,833,648,2733,1051,3784,0.27774841437632136,0.3211277120600434
COL,2022,2138,1917,9855,3841,13696,0.2804468457943925,0.32932655718756043
COL,2023,2939,2641,15172,5831,21003,0.27762700566585724,0.29450003744477626
COL,2024,3008,2769,15879,7489,23368,0.3204809996576515,0.34011667342561885
COM,2017,171,166,1069,116,1185,0.09789029535864979,0.07370241779194726
COM,2018,47,45,239,27,266,0.10150375939849623,0.08536930189406969
COM,2019,6,5,19,5,24,0.20833333333333334,0.23333333333333334
COM,2020,48,45,407,58,465,0.12473118279569892,0.09319318054698172
COM,2021,60,59,164,30,194,0.15463917525773196,0.09680875918610085
COM,2022,33,33,153,31,184,0.16847826086956522,0.15302597013123329
COM,2023,36,33,209,25,234,0.10683760683760683,0.09326436091141972
COM,2024,8,7,21,19,40,0.475,0.19523809523809524
CPV,2018,1,1,2,1,3,0.3333333333333333,0.3333333333333333
CPV,2019,713,630,3613,672,4285,0.15682613768961493,0.15962817424302017
CPV,2020,468,404,1904,289,2193,0.13178294573643412,0.12545552876529104
CPV,2021,357,338,1713,310,2023,0.1532377656945131,0.14760060641744527
CPV,2022,854,784,4010,863,4873,0.17709829673712293,0.181337533024876
CPV,2023,1108,994,5452,1438,6890,0.20870827285921625,0.21667056404847704
CPV,2024,645,568,3211,892,4103,0.21740190104801366,0.21572168955629173
CUB,2017,434,331,1469,271,1740,0.1557471264367816,0.1491835660242449
CUB,2018,967,813,3717,833,4550,0.18307692307692308,0.1787733633674258
CUB,2019,1218,964,4415,1045,5460,0.19139194139194138,0.18399408181204552
