country,n_images_all,n_images_people,n_male,n_female,n_people,female_ratio_totals,female_ratio_meanimg,v2x_polyarchy,v2x_gender
IND,6917,6842,43561,5509,49070,0.1122681883024251,0.0893529012694878,0.5967600000000001,0.6704400000000001
ARG,4054,3562,16838,3507,20345,0.1723765052838535,0.1929582612514329,0.7879999999999999,0.84392
USA,35,24,115,32,147,0.2176870748299319,0.3217490842490842,0.86212,0.90492
CUB,2700,2639,20693,4020,24713,0.1626674220046129,0.152898839203782,0.15116,0.65416
MDV,15071,14616,72246,13644,85890,0.1588543485853999,0.1393019122485461,0.4114,0.55188
AZE,2687,2645,14177,1883,16060,0.1172478206724782,0.1086966386846924,0.20828,0.6184
BEN,8756,7952,51779,13166,64945,0.2027253830163985,0.2036426328900807,0.58736,0.8442799999999999
COD,5755,5501,36864,8191,45055,0.1818000221950949,0.1694656896435445,0.29612,0.50064
NLD,419,343,1553,534,2087,0.2558696693818879,0.316773377920694,0.8644799999999999,0.91536
SOM,882,845,4565,561,5126,0.1094420600858369,0.1157240624760364,0.1714399999999999,0.23912
GBR,11595,9270,34614,8989,43603,0.2061555397564387,0.2248491884251384,0.8609600000000001,0.8957999999999999
LTU,811,640,1756,888,2644,0.3358547655068079,0.5276787569551121,0.8205199999999999,0.9096
HUN,7100,6976,32916,3708,36624,0.1012450851900393,0.0779185585065947,0.68876,0.85804
IRN,62277,60958,413519,23833,437352,0.0544938630668203,0.0444987461601884,0.1812,0.32512
SVN,4414,4080,17756,5168,22924,0.225440586285116,0.2273877431802209,0.8268,0.90904
BDI,1765,1750,11940,2375,14315,0.1659098847362906,0.1522635042373246,0.2436799999999999,0.62368
GNQ,18401,16903,95764,19126,114890,0.1664722778309687,0.1681450588658649,0.1812,0.42156
GRC,1301,1287,3564,331,3895,0.0849807445442875,0.0603426696683929,0.86208,0.91788
KGZ,29691,26808,144832,27890,172722,0.1614733502391125,0.1422492394910832,0.37384,0.72548
MDV,708,672,2350,565,2915,0.1938250428816466,0.2326849528661503,0.4114,0.55188
GAB,223,218,1224,199,1423,0.1398453970484891,0.1371211876871262,0.35728,0.7297199999999999
PHL,5395,4750,25659,5174,30833,0.1678072195375085,0.1379974168168924,0.49756,0.8220399999999999
CZE,1266,1187,4363,726,5089,0.1426606405973668,0.1207739214050293,0.8688800000000001,0.90504
ECU,3449,3196,20107,4591,24698,0.1858854968013604,0.1679367264268946,0.629,0.8175199999999999
SYR,37736,26018,137808,20404,158212,0.128966197254317,0.1387545649603195,0.14372,0.38268
TTO,449,417,1377,265,1642,0.161388550548112,0.1357328025128164,0.75788,0.87516
CHN,22,16,109,7,116,0.0603448275862069,0.0658653846153846,0.08792,0.61968
BTN,1510,1449,7506,1529,9035,0.1692307692307692,0.1574348356730147,0.42576,0.72348
TLS,3819,3596,20294,3196,23490,0.1360578969774372,0.1399382276589213,0.61388,0.73975
ALB,18,13,69,15,84,0.1785714285714285,0.1562787639710716,0.51676,0.79996
BLR,1568,1500,7253,1297,8550,0.1516959064327485,0.1328240390987295,0.2284,0.8146
TJK,58136,53087,365857,56916,422773,0.1346254372914069,0.1126741255137481,0.20764,0.45484
GRC,382,379,1500,190,1690,0.1124260355029585,0.0979805809931527,0.86208,0.91788
AUT,118,106,421,89,510,0.1745098039215686,0.1472441556292102,0.8620399999999999,0.92748
BEL,8,4,9,3,12,0.25,0.4107142857142857,0.89548,0.94168
