country,female_ratio,v2x_polyarchy,v2x_gender
IRQ,0.091252160032977,0.34448,0.4746
ISL,0.2895790796063491,0.86548,0.91956
ISR,0.0859251812730683,0.7440399999999999,0.87152
ITA,0.4710245437345012,0.8529599999999999,0.9123600000000001
JAM,0.1504525243080281,0.77708,0.89164
JOR,0.2155690822661959,0.23948,0.59516
JPN,0.1170899713089881,0.8394799999999999,0.7974000000000001
KAZ,0.1023787185193277,0.24568,0.76824
KEN,0.1494279314284583,0.48560000000000003,0.68136
KGZ,0.1332747803656028,0.37384,0.72548
KHM,0.1538719711961205,0.27524,0.56784
KOR,0.1757011683695465,0.80104,0.8747199999999999
KWT,0.1217112587854638,0.30956,0.38536000000000004
LBR,0.2715112342840107,0.5526800000000001,0.782
LKA,0.1796722955492018,0.4946,0.65468
LSO,0.1525483790223819,0.57968,0.7728400000000001
LTU,0.5276787569551121,0.8205199999999999,0.9096000000000001
LUX,0.1711621284786356,0.8736799999999999,0.8786799999999999
LVA,0.2410656885437331,0.8222,0.93916
MAR,0.0905204586183803,0.25724,0.6806
MDA,0.2203623802403722,0.56524,0.85724
MDG,0.2472335946151387,0.43207999999999996,0.71344
MDV,0.1434066612866826,0.4114,0.55188
MEX,0.2049414730887434,0.64616,0.73
MKD,0.1997991188832546,0.5363600000000001,0.82208
MNE,0.2121890218091556,0.48991999999999997,0.8118947368421052
MNG,0.2190436304349159,0.65268,0.83576
MOZ,0.0929970791735497,0.41747999999999996,0.7585200000000001
MRT,0.092129784802667,0.37912,0.58972
NER,0.14424135072924,0.5232800000000001,0.6986
NGA,0.1545547671006918,0.48231999999999997,0.7164
NLD,0.2859201808575227,0.8644799999999999,0.9153600000000001
NOR,0.1909175263407972,0.892,0.9401599999999999
NPL,0.1502594781209368,0.47952,0.69104
NZL,0.1955368985337675,0.8835599999999999,0.94036
OMN,0.1303962141513068,0.15888,0.3631428571428571
PAK,0.0719696969696969,0.37832,0.5866
PAN,0.3398889081855741,0.7371599999999999,0.7813599999999999
PER,0.2812815805809216,0.77128,0.77764
PHL,0.2517024509443809,0.49756,0.8220399999999999
POL,0.1345475051005324,0.80156,0.8977200000000001
PRK,0.0989086903434572,0.08412000000000001,0.28015999999999996
PRT,0.1713600890889074,0.88176,0.92112
PRY,0.2316829238247325,0.58912,0.6761199999999999
PSE,0.125064676485131,0.32031999999999994,0.58752
QAT,0.1765276204937594,0.04564,0.31284210526315787
ROU,0.1054242750975483,0.6644,0.8432
RUS,0.0758326506726638,0.28832,0.65944
RWA,0.1097997464560468,0.19996,0.80096
SAU,0.1015667761357416,0.01748,0.21372727272727274
SGP,0.1466273090320184,0.39804,0.7906400000000001
SLE,0.1580329127454289,0.49488,0.71288
SLV,0.4080646790538164,0.55776,0.68864
SOM,0.1157240624760364,0.17143999999999998,0.23912
SRB,0.1209873603777871,0.4986,0.83776
SUR,0.2175045767907608,0.7674,0.8456
SVK,0.1210156554327357,0.8370799999999999,0.87576
SVN,0.2273877431802209,0.8268,0.90904
SWE,0.2442737809885517,0.90896,0.94396
SYC,0.1523487156838018,0.52732,0.8372799999999999
SYR,0.1359855768861224,0.14372,0.38268
TGO,0.1094279817190033,0.39356,0.72232
TJK,0.1127158699949044,0.20764,0.45484
TKM,0.1241484335420748,0.12495999999999999,0.36200000000000004
TLS,0.1399382276589213,0.61388,0.73975
TTO,0.1422452802331634,0.75788,0.87516
TUR,0.1230391339846952,0.46527999999999997,0.6630400000000001
TWN,0.2520181719185386,0.8049599999999999,0.88152
TZA,0.2043979698912875,0.43835999999999997,0.80804
UGA,0.2035261864597902,0.30296,0.7831600000000001
UKR,0.1541019062189869,0.46548,0.83072
URY,0.1900139116540123,0.8839199999999999,0.8764
USA,0.1646189026161172,0.86212,0.9049200000000001
UZB,0.0891508374847978,0.17484000000000002,0.5222399999999999
VCT,0.2774300797976337,,
VEN,0.1901407631776181,0.35716000000000003,0.80304
VNM,0.085064935064935,0.15628,0.72024
WSM,0.2514643802947683,,
XKX,0.3424787953665992,0.55168,0.691076923076923
YEM,0.1249709639953542,0.22436,0.20972000000000002
ZAF,0.0843184389140271,0.74848,0.8668399999999999
