country,year,n_news,n_images_people,male_total,female_total,people_total,female_ratio,v2x_polyarchy
OMN,2021,183,250,959,258,1217,0.2119967132292522,0.173
OMN,2022,290,482,2710,434,3144,0.1380407124681933,0.17
OMN,2023,507,1025,5556,873,6429,0.1357909472701819,0.17
OMN,2024,315,777,4562,866,5428,0.1595431098010316,0.174
PAK,2023,4,4,8,1,9,0.1111111111111111,0.335
PAK,2024,1,7,74,6,80,0.075,0.313
PAN,2010,185,185,1058,176,1234,0.1426256077795786,0.744
PAN,2011,363,363,1950,436,2386,0.1827326068734283,0.744
PAN,2012,690,690,3476,831,4307,0.1929417227768748,0.744
PAN,2013,633,633,3174,885,4059,0.2180339985218034,0.748
PAN,2014,582,582,2876,1029,3905,0.2635083226632522,0.74
PAN,2015,667,667,3457,1443,4900,0.2944897959183673,0.756
PAN,2016,873,873,4608,1683,6291,0.2675250357653791,0.756
PAN,2017,733,733,4066,1775,5841,0.3038863208354734,0.736
PAN,2018,716,720,3951,1995,5946,0.3355196770938446,0.728
PAN,2019,482,782,4938,2372,7310,0.3244870041039672,0.731
PAN,2020,343,913,4405,2145,6550,0.3274809160305343,0.73
PAN,2021,635,1156,4952,2351,7303,0.3219224976037245,0.738
PAN,2022,986,2026,9025,4981,14006,0.3556333000142796,0.727
PAN,2023,1106,3195,15553,8515,24068,0.3537892637527007,0.725
PAN,2024,774,2875,14889,7762,22651,0.3426780274601563,0.726
PER,2018,979,1298,8725,3111,11836,0.2628421764109496,0.807
PER,2019,1576,2159,13628,5125,18753,0.2732896069962139,0.802
PER,2020,254,480,2733,842,3575,0.2355244755244755,0.819
PER,2021,435,1454,7198,1749,8947,0.1954845199508215,0.77
PER,2022,911,4559,24255,8421,32676,0.2577120822622108,0.745
PER,2023,1511,8865,51004,20053,71057,0.2822100567150316,0.712
PER,2024,2134,12600,69522,29115,98637,0.2951732108640774,0.634
PHL,1950,1,1,4,6,10,0.6,0.342
PHL,2000,1,1,3,0,3,0.0,0.588
PHL,2002,3,4,19,3,22,0.1363636363636363,0.535
PHL,2013,305,546,5703,1969,7672,0.2566475495307612,0.551
PHL,2014,1014,1416,15043,5272,20315,0.2595126753630322,0.55
PHL,2015,788,1031,10022,3687,13709,0.2689474068130425,0.549
PHL,2016,918,1333,13254,5570,18824,0.2958988525286868,0.52
PHL,2017,1010,1683,12382,4946,17328,0.2854339796860572,0.508
PHL,2018,1342,2468,16905,6950,23855,0.2913435338503458,0.482
PHL,2019,1216,2566,17853,7981,25834,0.3089339629945034,0.45
PHL,2020,942,1631,9606,3529,13135,0.2686714883897982,0.425
PHL,2021,802,1004,4722,1300,6022,0.2158751245433411,0.432
PHL,2022,893,1244,8252,2736,10988,0.2489989078995267,0.43
PHL,2023,1515,2141,14466,5208,19674,0.2647148520890515,0.434
PHL,2024,1601,1693,9818,2533,12351,0.2050846085337219,0.435
POL,2001,1,1,2,0,2,0.0,0.878
POL,2018,7,7,27,10,37,0.2702702702702703,0.697
POL,2019,270,281,1875,383,2258,0.1696191319751993,0.681
POL,2020,211,504,2103,228,2331,0.0978120978120978,0.614
POL,2021,390,1760,8537,1368,9905,0.1381120646138314,0.584
POL,2022,497,2432,13970,2702,16672,0.1620681381957773,0.576
POL,2023,345,1512,9352,2009,11361,0.1768330252618607,0.59
POL,2024,390,1264,7223,1897,9120,0.2080043859649122,0.729
PRK,2017,51,544,2917,209,3126,0.0668586052463211,0.084
PRK,2018,103,1287,7255,927,8182,0.1132974822781716,0.084
PRK,2019,63,554,2967,409,3376,0.121149289099526,0.083
PRT,2016,4,4,12,1,13,0.0769230769230769,0.887
PRT,2017,5,5,13,0,13,0.0,0.899
PRT,2021,127,133,559,76,635,0.1196850393700787,0.887
PRT,2022,169,174,903,197,1100,0.179090909090909,0.844
PRT,2023,162,167,966,209,1175,0.1778723404255319,0.851
PRT,2024,115,118,672,136,808,0.1683168316831683,0.831
PRY,2019,174,256,1503,556,2059,0.270033997085964,0.584
PRY,2020,336,544,2474,552,3026,0.1824190350297422,0.582
PRY,2021,82,121,631,173,804,0.2151741293532338,0.582
PRY,2022,231,552,3159,1137,4296,0.2646648044692737,0.582
PRY,2023,40,97,559,181,740,0.2445945945945946,0.575
PSE,2019,115,115,358,37,395,0.0936708860759493,0.273
PSE,2020,3,3,4,0,4,0.0,0.245
PSE,2021,5,5,6,0,6,0.0,0.238
PSE,2022,3,3,4,0,4,0.0,0.235
PSE,2023,11,11,77,11,88,0.125,0.232
PSE,2024,39,39,137,49,186,0.2634408602150537,0.214
QAT,2012,1,1,2,0,2,0.0,0.042
QAT,2013,1,1,1,0,1,0.0,0.042
QAT,2014,51,51,134,17,151,0.1125827814569536,0.042
QAT,2015,127,127,246,32,278,0.1151079136690647,0.041
QAT,2016,92,92,292,45,337,0.1335311572700296,0.04
QAT,2017,544,544,1722,285,2007,0.1420029895366218,0.04
QAT,2018,686,686,2346,382,2728,0.1400293255131964,0.042
QAT,2019,764,764,2860,509,3369,0.1510834075393291,0.04
QAT,2020,586,586,2058,409,2467,0.1657884069720308,0.039
QAT,2021,1024,1024,3139,666,3805,0.1750328515111695,0.088
QAT,2022,1104,1104,4493,908,5401,0.1681170153675245,0.086
QAT,2023,1324,1324,4927,1199,6126,0.1957231472412667,0.086
QAT,2024,1214,1214,4908,1384,6292,0.2199618563254927,0.087
ROU,2012,92,362,1591,123,1714,0.0717619603267211,0.674
ROU,2013,160,1238,6696,713,7409,0.0962343096234309,0.667
ROU,2014,254,2580,14828,1894,16722,0.1132639636407128,0.672
ROU,2015,141,1393,7073,906,7979,0.1135480636671262,0.716
ROU,2016,178,249,1271,183,1454,0.1258596973865199,0.728
ROU,2017,167,167,964,98,1062,0.0922787193973634,0.691
ROU,2018,215,254,1040,328,1368,0.239766081871345,0.689
ROU,2019,216,217,1076,256,1332,0.1921921921921922,0.748
ROU,2020,298,298,1313,106,1419,0.0747004933051444,0.799
ROU,2021,217,230,781,78,859,0.0908032596041909,0.765
ROU,2022,450,465,2502,285,2787,0.1022604951560818,0.689
ROU,2023,314,336,1787,267,2054,0.1299902629016553,0.674
ROU,2024,274,306,1620,310,1930,0.160621761658031,0.629
RUS,1999,8,9,26,1,27,0.037037037037037,0.462
RUS,2000,522,764,4588,230,4818,0.0477376504773765,0.407
RUS,2001,463,714,4105,172,4277,0.0402151040448912,0.38
RUS,2002,423,711,3644,200,3844,0.0520291363163371,0.351
RUS,2003,567,952,4864,342,5206,0.0656934306569343,0.339
RUS,2004,567,723,3563,224,3787,0.0591497227356746,0.326
RUS,2005,478,664,3391,202,3593,0.0562204286111884,0.325
RUS,2006,467,623,3273,166,3439,0.0482698458854318,0.323
RUS,2007,431,769,4239,307,4546,0.0675318961724593,0.316
RUS,2008,605,946,4576,276,4852,0.0568837592745259,0.305
RUS,2009,704,1176,5921,446,6367,0.0700486885503376,0.311
RUS,2010,682,2109,11638,1040,12678,0.0820318662249566,0.309
RUS,2011,601,2138,11443,1387,12830,0.1081060015588464,0.297
RUS,2012,545,1961,10925,942,11867,0.0793797927024521,0.28
RUS,2013,612,2722,14921,1360,16281,0.0835329525213438,0.277
RUS,2014,671,2818,17044,1900,18944,0.1002956081081081,0.269
RUS,2015,653,2529,14729,1701,16430,0.1035301278149726,0.267
RUS,2016,664,2644,15570,1456,17026,0.0855162692352872,0.264
RUS,2017,719,3711,22348,2649,24997,0.1059727167260071,0.263
RUS,2018,713,3834,24077,3022,27099,0.1115170301487139,0.266
RUS,2019,679,4058,24907,2853,27760,0.1027737752161383,0.263
RUS,2020,429,1513,6774,878,7652,0.1147412441191845,0.256
RUS,2021,461,1596,6035,760,6795,0.1118469462840323,0.245
RUS,2022,478,1766,6547,867,7414,0.1169409225789047,0.207
RUS,2023,560,3086,13649,1541,15190,0.1014483212639894,0.19
RUS,2024,596,3787,18777,2313,21090,0.1096728307254623,0.172
RWA,2017,46,46,338,52,390,0.1333333333333333,0.223
RWA,2018,33,35,262,47,309,0.1521035598705501,0.225
RWA,2019,125,127,1243,126,1369,0.0920379839298758,0.228
RWA,2020,38,38,194,16,210,0.0761904761904762,0.225
RWA,2021,91,91,318,36,354,0.1016949152542373,0.226
RWA,2022,165,168,864,152,1016,0.1496062992125984,0.219
RWA,2023,132,132,766,110,876,0.1255707762557077,0.213
RWA,2024,78,81,424,79,503,0.1570576540755467,0.202
SAU,2023,11,11,62,3,65,0.0461538461538461,0.015
SAU,2024,18,18,108,17,125,0.136,0.015
SGP,2007,2,2,4,2,6,0.3333333333333333,0.385
SGP,2008,4,5,16,5,21,0.238095238095238,0.391
SGP,2009,18,18,84,7,91,0.0769230769230769,0.39
SGP,2010,5,5,13,1,14,0.0714285714285714,0.39
SGP,2011,46,46,189,24,213,0.1126760563380281,0.404
SGP,2012,94,126,499,68,567,0.1199294532627865,0.42
SGP,2013,87,152,533,65,598,0.108695652173913,0.416
SGP,2014,71,126,435,40,475,0.0842105263157894,0.416
SGP,2015,111,178,698,89,787,0.1130876747141041,0.415
SGP,2016,123,251,911,126,1037,0.1215043394406943,0.427
SGP,2017,104,240,1068,164,1232,0.1331168831168831,0.422
SGP,2018,145,274,1284,209,1493,0.1399866041527126,0.411
SGP,2019,162,333,1465,290,1755,0.1652421652421652,0.405
SGP,2020,52,115,423,82,505,0.1623762376237623,0.4
SGP,2021,73,307,832,171,1003,0.1704885343968095,0.395
SGP,2022,107,434,1753,420,2173,0.1932811780947998,0.395
SGP,2023,107,427,2031,459,2490,0.1843373493975903,0.403
SGP,2024,75,266,1232,295,1527,0.1931892599869024,0.414
SLE,2022,24,74,603,89,692,0.1286127167630057,0.564
SLE,2023,79,276,1932,402,2334,0.1722365038560411,0.493
SLE,2024,93,361,2208,507,2715,0.1867403314917127,0.44
SLV,2019,89,90,523,180,703,0.2560455192034139,0.594
SLV,2020,52,52,250,115,365,0.3150684931506849,0.522
SLV,2021,297,2509,9123,4583,13706,0.3343791040420253,0.409
SLV,2022,508,5404,24255,13290,37545,0.3539752297243308,0.381
SLV,2023,616,6980,33769,20042,53811,0.3724517292003493,0.38
SLV,2024,577,5598,26198,15592,41790,0.3731036133046183,0.339
SOM,2024,177,845,4565,561,5126,0.1094420600858369,0.169
SRB,2004,165,306,1307,57,1364,0.0417888563049853,0.634
SRB,2005,194,374,1923,102,2025,0.0503703703703703,0.634
SRB,2006,201,391,1896,118,2014,0.0585898709036742,0.637
SRB,2007,144,277,1372,136,1508,0.0901856763925729,0.632
SRB,2008,127,235,685,57,742,0.0768194070080862,0.637
SRB,2009,174,309,1252,143,1395,0.1025089605734767,0.634
SRB,2010,181,318,1218,106,1324,0.080060422960725,0.612
SRB,2011,171,297,1009,122,1131,0.1078691423519009,0.613
SRB,2012,240,422,1461,127,1588,0.0799748110831234,0.595
SRB,2013,437,763,2956,329,3285,0.100152207001522,0.504
SRB,2014,381,721,2840,270,3110,0.0868167202572347,0.446
SRB,2015,551,1045,3872,513,4385,0.1169897377423033,0.433
SRB,2016,526,1055,3917,545,4462,0.1221425369789332,0.415
SRB,2017,475,931,3431,546,3977,0.1372894141312547,0.378
SRB,2018,484,998,4249,882,5131,0.1718963165075034,0.361
SRB,2019,359,791,4596,1074,5670,0.1894179894179894,0.363
SRB,2020,239,443,2523,481,3004,0.1601198402130492,0.351
SRB,2021,461,1309,7238,1371,8609,0.1592519456382855,0.337
SRB,2022,444,1737,8964,1945,10909,0.178293152442937,0.359
SRB,2023,434,1554,8726,2195,10921,0.2009889204285322,0.36
SRB,2024,173,679,3845,1118,4963,0.2252669756195849,0.315
SUR,2020,69,69,373,116,489,0.2372188139059304,0.76
SUR,2021,488,797,4017,812,4829,0.1681507558500724,0.764
SUR,2022,1441,3069,18132,3562,21694,0.1641928643864663,0.78
SUR,2023,1613,4069,25127,7189,32316,0.2224594628048025,0.768
SUR,2024,1503,3935,23882,6953,30835,0.2254905140262688,0.768
SVK,1970,2,2,7,3,10,0.3,
SVK,2009,15,15,59,7,66,0.106060606060606,0.839
SVK,2010,89,89,339,71,410,0.173170731707317,0.852
SVK,2011,49,49,376,35,411,0.0851581508515815,0.855
SVK,2012,230,230,855,152,1007,0.1509433962264151,0.848
SVK,2013,533,533,2272,320,2592,0.1234567901234567,0.837
SVK,2014,524,524,2965,480,3445,0.13933236574746,0.839
SVK,2015,409,409,2519,384,2903,0.132276954874268,0.844
SVK,2016,354,354,2145,424,2569,0.1650447644998053,0.844
SVK,2017,182,182,913,165,1078,0.1530612244897959,0.84
SVK,2018,53,53,270,49,319,0.1536050156739812,0.821
SVK,2019,9,9,51,7,58,0.1206896551724138,0.844
SVK,2020,16,16,63,8,71,0.1126760563380281,0.843
SVK,2021,19,19,72,17,89,0.1910112359550561,0.844
SVK,2022,10,10,31,9,40,0.225,0.841
SVK,2023,11,11,41,8,49,0.1632653061224489,0.817
SVK,2024,51,208,1135,194,1329,0.145974416854778,0.752
SVN,2019,256,272,1594,403,1997,0.2018027040560841,0.812
SVN,2020,550,564,1983,347,2330,0.1489270386266094,0.754
SVN,2021,938,1039,3683,713,4396,0.1621929026387625,0.716
SVN,2022,679,731,3405,1032,4437,0.2325895875591616,0.812
SVN,2023,685,755,3817,1422,5239,0.2714258446268371,0.757
SVN,2024,631,719,3274,1251,4525,0.2764640883977901,0.716
SWE,2014,1,1,4,1,5,0.2,0.916
SWE,2015,4,12,46,9,55,0.1636363636363636,0.916
SWE,2016,3,6,19,5,24,0.2083333333333333,0.917
SWE,2017,6,6,36,9,45,0.2,0.917
SWE,2018,7,12,66,33,99,0.3333333333333333,0.91
SWE,2019,2,2,4,3,7,0.4285714285714285,0.902
SWE,2020,1,1,2,6,8,0.75,0.902
SWE,2021,1,1,1,1,2,0.5,0.903
SWE,2022,1,1,3,0,3,0.0,0.896
SWE,2023,12,14,71,20,91,0.2197802197802197,0.881
SWE,2024,28,37,203,35,238,0.1470588235294117,0.881
SYC,2010,103,103,357,44,401,0.1097256857855361,0.477
SYC,2011,128,128,568,74,642,0.1152647975077881,0.478
SYC,2012,187,187,850,99,949,0.1043203371970495,0.475
SYC,2013,185,185,572,114,686,0.1661807580174927,0.49
SYC,2014,160,160,658,84,742,0.1132075471698113,0.494
SYC,2015,172,172,734,127,861,0.1475029036004645,0.515
SYC,2016,156,156,637,138,775,0.1780645161290322,0.584
SYC,2017,325,325,1180,290,1470,0.1972789115646258,0.596
SYC,2018,270,270,1359,241,1600,0.150625,0.602
SYC,2019,303,303,1616,342,1958,0.1746680286006128,0.614
SYC,2020,193,193,1224,196,1420,0.1380281690140845,0.667
SYC,2021,223,223,925,145,1070,0.1355140186915887,0.709
SYC,2022,214,214,1280,197,1477,0.1333784698713608,0.752
SYC,2023,153,153,711,127,838,0.1515513126491647,0.738
SYC,2024,169,169,967,228,1195,0.1907949790794979,0.741
SYR,2013,2,2,2,0,2,0.0,0.137
SYR,2014,1,1,9,1,10,0.1,0.138
SYR,2015,53,53,297,26,323,0.0804953560371517,0.137
SYR,2016,50,71,416,26,442,0.0588235294117647,0.137
SYR,2017,45,71,414,13,427,0.0304449648711943,0.138
SYR,2018,1102,2413,14519,2194,16713,0.1312750553461377,0.137
SYR,2019,2074,4410,24737,4017,28754,0.1397023022883772,0.137
SYR,2020,2109,4115,20549,3020,23569,0.1281344138486995,0.139
SYR,2021,2428,4473,24263,3501,27764,0.1260985448782596,0.137
SYR,2022,2836,4368,21836,2905,24741,0.1174164342589224,0.137
SYR,2023,2194,3773,19542,2779,22321,0.1245015904305362,0.146
SYR,2024,2124,3070,15908,2186,18094,0.1208135293467447,0.145
TGO,2024,8,12,144,13,157,0.0828025477707006,0.355
TJK,2005,1,1,1,0,1,0.0,0.233
TJK,2006,1,1,1,0,1,0.0,0.23
TJK,2007,3,3,3,0,3,0.0,0.231
TJK,2008,3,3,7,0,7,0.0,0.233
TJK,2009,3,3,4,0,4,0.0,0.233
TJK,2010,4,4,8,0,8,0.0,0.227
TJK,2011,4,4,4,0,4,0.0,0.226
TJK,2012,266,925,6600,694,7294,0.0951466959144502,0.226
TJK,2013,338,2890,22682,2507,25189,0.0995275715590138,0.208
TJK,2014,251,2593,18534,2079,20613,0.1008586814146412,0.204
TJK,2015,247,3147,22717,2888,25605,0.1127904706112087,0.185
TJK,2016,270,3405,25662,4179,29841,0.1400422237860661,0.174
TJK,2017,198,2435,16281,2056,18337,0.1121230299394666,0.169
TJK,2018,190,2699,19071,2218,21289,0.1041852599934238,0.166
TJK,2019,225,3652,24273,3853,28126,0.1369906847756524,0.166
TJK,2020,109,2620,17025,2688,19713,0.136356718916451,0.173
TJK,2021,186,4524,29535,6022,35557,0.1693618696740444,0.173
TJK,2022,376,7374,52797,8538,61335,0.1392027390560039,0.167
TJK,2023,478,8130,52858,8737,61595,0.1418459290526828,0.166
TJK,2024,494,8823,58700,10613,69313,0.1531170198952577,0.174
TKM,2016,44,44,285,32,317,0.1009463722397476,0.144
TKM,2017,696,696,4222,683,4905,0.1392456676860346,0.147
TKM,2018,876,876,6288,900,7188,0.1252086811352253,0.149
TKM,2019,1056,1056,7642,1220,8862,0.1376664409839765,0.149
TKM,2020,924,924,4895,585,5480,0.1067518248175182,0.15
TKM,2021,768,768,4372,471,4843,0.0972537683254181,0.149
TKM,2022,850,850,5057,625,5682,0.1099964801126364,0.147
TKM,2023,264,264,1180,171,1351,0.1265729089563286,0.149
TKM,2024,225,225,913,117,1030,0.1135922330097087,0.149
TLS,2010,216,231,1224,146,1370,0.1065693430656934,0.636
TLS,2011,203,205,1096,185,1281,0.1444184231069477,0.636
TLS,2012,102,103,606,61,667,0.0914542728635682,0.656
TLS,2013,198,221,1285,148,1433,0.1032798325191905,0.655
TLS,2014,123,152,832,94,926,0.101511879049676,0.639
TLS,2015,134,192,975,128,1103,0.1160471441523118,0.644
TLS,2016,96,166,1058,165,1223,0.1349141455437449,0.626
TLS,2017,99,141,931,187,1118,0.167262969588551,0.662
TLS,2018,72,95,561,78,639,0.1220657276995305,0.688
TLS,2019,120,130,829,111,940,0.1180851063829787,0.699
TLS,2020,102,109,667,79,746,0.1058981233243967,0.677
TLS,2021,140,149,871,95,966,0.098343685300207,0.69
TLS,2022,73,100,519,69,588,0.1173469387755102,0.705
TLS,2023,203,460,2513,454,2967,0.1530165149983147,0.712
TLS,2024,349,1142,6327,1196,7523,0.1589791306659577,0.733
TTO,2015,13,14,34,7,41,0.1707317073170731,0.764
TTO,2016,33,332,1230,325,1555,0.2090032154340836,0.754
TTO,2017,39,144,765,170,935,0.1818181818181818,0.75
TTO,2018,17,66,374,62,436,0.1422018348623853,0.744
TTO,2019,33,91,350,78,428,0.1822429906542056,0.75
TTO,2020,95,223,602,85,687,0.12372634643377,0.753
TTO,2021,111,222,579,93,672,0.1383928571428571,0.77
TTO,2022,134,239,837,128,965,0.1326424870466321,0.755
TTO,2023,134,195,649,140,789,0.1774397972116603,0.755
TTO,2024,133,292,1336,291,1627,0.1788567916410571,0.755
TUR,2014,210,1671,11257,1630,12887,0.1264840536975246,0.429
TUR,2015,762,8903,60834,10766,71600,0.1503631284916201,0.387
TUR,2016,898,10966,75564,12059,87623,0.1376236832795042,0.305
TUR,2017,907,14866,96328,16425,112753,0.1456723989605598,0.29
TUR,2018,852,18752,122277,19058,141335,0.1348427494958786,0.297
TUR,2019,768,18260,124849,19033,143882,0.1322820088683782,0.293
TUR,2020,476,5075,31047,3282,34329,0.0956042995717906,0.291
TUR,2021,691,7049,44314,6558,50872,0.128911778581538,0.285
TUR,2022,770,10710,68210,11721,79931,0.1466389761169008,0.286
TUR,2023,614,8803,56279,9392,65671,0.1430159431103531,0.285
TUR,2024,440,6201,39976,6756,46732,0.1445690319267311,0.288
TWN,2007,18,18,64,10,74,0.1351351351351351,0.777
TWN,2008,132,132,520,68,588,0.1156462585034013,0.796
TWN,2009,48,48,203,33,236,0.1398305084745762,0.796
TWN,2010,35,35,200,15,215,0.0697674418604651,0.804
TWN,2011,260,267,1344,187,1531,0.1221423905943827,0.804
TWN,2012,222,224,1074,135,1209,0.1116625310173697,0.806
TWN,2013,238,242,1332,120,1452,0.0826446280991735,0.802
TWN,2014,210,210,1160,131,1291,0.1014717273431448,0.804
TWN,2015,227,227,1108,142,1250,0.1136,0.804
TWN,2016,204,430,2102,552,2654,0.2079879427279578,0.838
TWN,2017,224,945,5071,1471,6542,0.2248547844695811,0.843
TWN,2018,254,1113,6651,1746,8397,0.2079314040728831,0.844
TWN,2019,276,1197,7338,1911,9249,0.2066169315601686,0.835
TWN,2020,104,429,1970,561,2531,0.2216515211378901,0.824
TWN,2021,88,301,1293,391,1684,0.2321852731591449,0.824
TWN,2022,207,848,4977,1160,6137,0.1890174352289392,0.827
TWN,2023,258,1124,7120,2041,9161,0.2227922715860714,0.823
TWN,2024,219,885,5504,1187,6691,0.1774024809445523,0.8
TZA,2013,1,1,2,0,2,0.0,0.477
TZA,2015,1,1,6,1,7,0.1428571428571428,0.457
TZA,2016,57,67,342,41,383,0.1070496083550913,0.411
TZA,2017,47,91,463,74,537,0.1378026070763501,0.401
TZA,2018,76,152,782,144,926,0.1555075593952483,0.39
TZA,2019,100,228,1426,272,1698,0.160188457008245,0.385
TZA,2020,57,127,665,118,783,0.1507024265644955,0.386
TZA,2021,156,555,3325,732,4057,0.1804288883411387,0.365
TZA,2022,206,368,2008,584,2592,0.2253086419753086,0.39
TZA,2023,202,317,1906,580,2486,0.2333065164923572,0.419
TZA,2024,285,480,4127,805,4932,0.1632197891321979,0.415
UGA,2021,51,99,786,157,943,0.1664899257688229,0.287
UGA,2022,147,378,2780,685,3465,0.1976911976911977,0.279
UGA,2023,88,203,1534,391,1925,0.2031168831168831,0.275
UGA,2024,149,330,2196,493,2689,0.1833395314243213,0.272
UKR,2012,15,16,33,1,34,0.0294117647058823,0.483
UKR,2013,211,286,1174,105,1279,0.0820953870211102,0.464
UKR,2014,286,295,1448,110,1558,0.0706033376123234,0.417
UKR,2015,173,179,770,127,897,0.1415830546265329,0.421
UKR,2016,189,193,818,135,953,0.1416579223504722,0.434
UKR,2017,124,124,594,114,708,0.1610169491525423,0.431
UKR,2018,105,107,613,95,708,0.134180790960452,0.433
UKR,2019,411,1087,6562,1115,7677,0.1452390256610655,0.525
UKR,2020,501,1569,8682,1509,10191,0.1480718280836031,0.546
UKR,2021,471,2471,12444,2854,15298,0.1865603346842724,0.539
UKR,2022,1474,6796,28276,4449,32725,0.1359511077158136,0.389
UKR,2023,1833,8901,45437,8877,54314,0.1634385241374231,0.387
UKR,2024,1782,8993,43605,10524,54129,0.1944244305270742,0.389
URY,2000,3,3,8,1,9,0.1111111111111111,0.874
URY,2010,25,100,507,60,567,0.1058201058201058,0.912
URY,2011,895,1083,3860,717,4577,0.1566528293642123,0.912
URY,2012,2075,2136,7161,1379,8540,0.1614754098360655,0.912
URY,2013,2665,2708,9554,1982,11536,0.1718099861303745,0.912
URY,2014,1775,1849,7787,1856,9643,0.1924712226485533,0.911
URY,2015,2647,3132,13005,3241,16246,0.1994952603717838,0.897
URY,2016,2678,3487,15412,4141,19553,0.2117833580524727,0.897
URY,2017,2718,3089,12929,3533,16462,0.2146154780707083,0.889
URY,2018,2218,2437,10562,2677,13239,0.2022056046529194,0.9
URY,2019,1828,2283,10698,2830,13528,0.2091957421643997,0.898
URY,2020,968,1039,4991,1014,6005,0.1688592839300582,0.87
URY,2021,1118,1170,5272,1241,6513,0.1905419929372025,0.857
URY,2022,1268,1300,6849,1793,8642,0.2074751214996528,0.819
URY,2023,1341,1387,7725,2044,9769,0.2092332889753301,0.834
URY,2024,1166,1260,7102,2180,9282,0.2348631760396466,0.848
USA,2001,111,134,667,52,719,0.0723226703755215,0.821
USA,2002,385,558,2492,281,2773,0.1013342949873783,0.826
USA,2003,310,534,2505,274,2779,0.0985966174883051,0.859
USA,2004,313,614,2825,337,3162,0.1065781151170145,0.862
USA,2005,437,935,4325,529,4854,0.1089822826534816,0.861
USA,2006,513,937,4383,522,4905,0.1064220183486238,0.867
USA,2007,430,880,3950,513,4463,0.1149451041900067,0.897
USA,2008,466,980,4223,614,4837,0.1269381848253049,0.898
USA,2009,153,195,492,224,716,0.3128491620111732,0.902
USA,2010,185,283,1884,511,2395,0.2133611691022964,0.902
USA,2011,513,712,4469,1235,5704,0.2165147265077139,0.9
USA,2012,320,414,2594,746,3340,0.2233532934131736,0.899
USA,2013,322,454,2949,812,3761,0.2159000265886732,0.902
USA,2014,382,584,3416,947,4363,0.2170524868209947,0.9
USA,2015,305,1004,5407,1783,7190,0.2479833101529902,0.9
USA,2016,165,451,2218,690,2908,0.2372764786795048,0.887
USA,2017,96,270,1467,457,1924,0.2375259875259875,0.827
USA,2018,89,778,3424,1030,4454,0.2312528064660979,0.823
USA,2019,23,47,174,25,199,0.1256281407035175,0.812
USA,2020,70,112,492,126,618,0.203883495145631,0.807
USA,2021,8,9,32,14,46,0.3043478260869565,0.821
USA,2022,8,8,31,13,44,0.2954545454545454,0.829
USA,2023,7,8,54,7,61,0.1147540983606557,0.843
USA,2024,1,1,13,0,13,0.0,0.84
UZB,2016,5,9,83,20,103,0.1941747572815534,0.169
UZB,2017,201,225,931,92,1023,0.0899315738025415,0.19
UZB,2018,344,746,4663,792,5455,0.1451879010082493,0.188
UZB,2019,405,1356,8022,1551,9573,0.1620181761203384,0.202
UZB,2020,367,1555,6760,481,7241,0.0664272890484739,0.205
UZB,2021,535,3746,19779,2238,22017,0.1016487259844665,0.205
UZB,2022,685,4213,24258,3500,27758,0.1260897759204553,0.212
UZB,2023,952,4180,23153,2953,26106,0.1131157588293878,0.214
UZB,2024,820,3541,20412,2089,22501,0.0928403182080796,0.215
VCT,2014,8,10,32,6,38,0.1578947368421052,
VCT,2015,6,6,18,7,25,0.28,
VCT,2016,12,16,63,7,70,0.1,
VCT,2017,6,8,29,10,39,0.2564102564102564,
VCT,2018,9,19,100,21,121,0.1735537190082644,
VCT,2019,20,42,172,32,204,0.1568627450980392,
VCT,2020,15,27,114,44,158,0.2784810126582278,
VCT,2021,7,10,20,7,27,0.2592592592592592,
VCT,2022,16,42,211,69,280,0.2464285714285714,
VCT,2023,23,39,154,66,220,0.3,
VCT,2024,9,22,80,31,111,0.2792792792792792,
VEN,2018,1,1,6,4,10,0.4,0.215
VEN,2019,21,21,183,30,213,0.1408450704225352,0.208
VEN,2020,17,17,68,15,83,0.180722891566265,0.206
VEN,2021,23,23,92,16,108,0.1481481481481481,0.215
VEN,2022,2,2,9,4,13,0.3076923076923077,0.211
VEN,2023,129,173,916,161,1077,0.149489322191272,0.207
VEN,2024,641,1375,7286,2063,9349,0.2206653117980532,0.197
VNM,2022,9,13,63,5,68,0.0735294117647058,0.153
VNM,2024,1,1,2,0,2,0.0,0.174
WSM,2014,3,18,132,24,156,0.1538461538461538,
WSM,2015,40,136,594,144,738,0.1951219512195122,
WSM,2016,24,58,311,89,400,0.2225,
WSM,2017,8,13,81,18,99,0.1818181818181818,
WSM,2018,9,61,241,90,331,0.2719033232628399,
WSM,2020,9,29,44,15,59,0.2542372881355932,
WSM,2022,148,169,818,297,1115,0.2663677130044843,
WSM,2023,230,232,989,334,1323,0.2524565381708238,
WSM,2024,177,181,878,282,1160,0.243103448275862,
XKX,2022,65,186,1036,462,1498,0.308411214953271,0.672
XKX,2023,173,187,1111,416,1527,0.2724296005239031,0.675
XKX,2024,215,215,988,474,1462,0.3242134062927496,0.651
YEM,2018,1,1,1,0,1,0.0,0.113
YEM,2019,3,6,9,1,10,0.1,0.118
YEM,2021,13,18,61,11,72,0.1527777777777778,0.115
YEM,2022,3,3,7,0,7,0.0,0.124
YEM,2023,3,3,6,1,7,0.1428571428571428,0.128
YEM,2024,3,10,39,10,49,0.2040816326530612,0.127
ZAF,2014,1,1,1,0,1,0.0,0.752
