country,year,n_news,n_images_people,male_total,female_total,people_total,female_ratio,v2x_polyarchy
BOL,2020,76,156,866,254,1120,0.2267857142857142,0.331
BOL,2021,302,666,3246,653,3899,0.1674788407283919,0.614
BOL,2022,127,248,1552,359,1911,0.1878597592883307,0.589
BOL,2023,215,1027,5084,1383,6467,0.2138549559301067,0.584
BOL,2024,194,721,4018,1378,5396,0.2553743513713862,0.576
BRA,2012,2,2,3,0,3,0.0,0.872
BRA,2014,19,20,84,13,97,0.134020618556701,0.877
BRA,2015,85,185,1064,109,1173,0.092924126172208,0.863
BRA,2016,53,159,797,121,918,0.1318082788671024,0.782
BRA,2017,14,18,57,7,64,0.109375,0.778
BRA,2018,14,15,99,16,115,0.1391304347826087,0.753
BRA,2019,15,16,113,12,125,0.096,0.698
BRN,2015,6,6,24,3,27,0.1111111111111111,
BRN,2016,21,27,104,19,123,0.1544715447154471,
BRN,2017,8,8,33,6,39,0.1538461538461538,
BRN,2018,4,4,10,1,11,0.0909090909090909,
BRN,2019,12,12,49,9,58,0.1551724137931034,
BRN,2020,6,6,23,3,26,0.1153846153846153,
BRN,2021,11,11,39,4,43,0.0930232558139534,
BRN,2022,11,11,27,3,30,0.1,
BRN,2023,11,13,53,12,65,0.1846153846153846,
BRN,2024,5,5,18,3,21,0.1428571428571428,
BTN,2008,1,1,2,0,2,0.0,0.502
BTN,2009,4,5,15,2,17,0.1176470588235294,0.602
BTN,2010,3,3,20,1,21,0.0476190476190476,0.601
BTN,2011,6,37,199,17,216,0.0787037037037037,0.601
BTN,2012,18,28,71,7,78,0.0897435897435897,0.605
BTN,2013,29,37,173,24,197,0.1218274111675127,0.58
BTN,2014,36,41,269,42,311,0.135048231511254,0.573
BTN,2015,27,46,286,68,354,0.192090395480226,0.572
BTN,2016,76,126,545,100,645,0.1550387596899224,0.563
BTN,2017,79,135,757,148,905,0.1635359116022099,0.578
BTN,2018,70,150,951,227,1178,0.1926994906621392,0.585
BTN,2019,86,151,1029,232,1261,0.1839809674861221,0.601
BTN,2020,49,110,594,115,709,0.1622002820874471,0.6
BTN,2021,79,184,852,178,1030,0.1728155339805825,0.58
BTN,2022,56,124,450,99,549,0.180327868852459,0.562
BTN,2023,59,147,745,155,900,0.1722222222222222,0.54
BTN,2024,86,124,548,114,662,0.1722054380664652,0.561
CAN,2015,33,33,150,29,179,0.1620111731843575,0.814
CAN,2016,131,139,876,255,1131,0.2254641909814323,0.837
