country,year,n_images_all,n_images_people,n_male,n_female,n_people,female_ratio_totals,female_ratio_meanimg,women_parl_pct,women_parl_ratio
AZE,2022,1158,1150,6604,1047,7651,0.1368448568814534,0.12686694239513,18.3333333333333,0.18333333333333302
AZE,2023,585,582,3230,293,3523,0.0831677547544706,0.068471879239203,18.6440677966102,0.186440677966102
AZE,2024,745,726,3841,335,4176,0.0802203065134099,0.0676853047763993,20.8,0.20800000000000002
BDI,2015,1,0,0,0,0,,,36.3636363636364,0.36363636363636404
BDI,2016,6,5,18,7,25,0.28,0.2777777777777778,36.3636363636364,0.36363636363636404
BDI,2017,375,371,2819,425,3244,0.1310110974106041,0.1136758714592241,36.3636363636364,0.36363636363636404
BDI,2018,196,191,1598,300,1898,0.1580611169652265,0.1428371571349617,36.3636363636364,0.36363636363636404
BDI,2019,74,74,555,129,684,0.1885964912280701,0.1684479392877225,36.3636363636364,0.36363636363636404
BDI,2020,136,135,1003,214,1217,0.1758422350041084,0.170016437587817,38.2113821138211,0.382113821138211
BDI,2021,242,242,1480,306,1786,0.1713325867861142,0.1773574871064508,38.2113821138211,0.382113821138211
BDI,2022,266,266,1460,345,1805,0.1911357340720221,0.1766523332660521,38.2113821138211,0.382113821138211
BDI,2023,248,247,1514,356,1870,0.1903743315508021,0.1688084620068739,38.2113821138211,0.382113821138211
BDI,2024,221,219,1493,293,1786,0.164053751399776,0.130563967928784,38.2113821138211,0.382113821138211
BEL,2020,4,1,1,1,2,0.5,0.5,41.3333333333333,0.413333333333333
BEL,2021,19,2,8,1,9,0.1111111111111111,0.0714285714285714,42.0,0.42
BEL,2022,11,0,0,0,0,,,42.6666666666667,0.42666666666666697
BEL,2023,7,0,0,0,0,,,42.6666666666667,0.42666666666666697
BEL,2024,3,1,0,1,1,1.0,1.0,41.3333333333333,0.413333333333333
BEN,2019,195,170,1061,262,1323,0.1980347694633409,0.1883255835404806,7.2289156626506,0.072289156626506
BEN,2020,711,530,2757,651,3408,0.1910211267605633,0.2197873123308883,7.2289156626506,0.072289156626506
BEN,2021,1524,1369,8105,1782,9887,0.1802366744209568,0.1939448052469254,8.43373493975904,0.0843373493975904
BEN,2022,1728,1608,10608,2412,13020,0.1852534562211981,0.1816688199787968,7.40740740740741,0.0740740740740741
BEN,2023,2192,2068,14592,3634,18226,0.1993854932513991,0.2016223556140179,26.605504587156,0.26605504587156
BEN,2024,2406,2207,14656,4425,19081,0.2319060845867617,0.2248639146741885,26.605504587156,0.26605504587156
BFA,2019,1088,1070,7972,1852,9824,0.1885179153094462,0.1750630998942767,13.3858267716535,0.133858267716535
