country,year,n_news,n_images_people,male_total,female_total,people_total,female_ratio
CIV,2012,50,50,245,27,272,0.09926470588235294
CIV,2013,85,85,440,47,487,0.09650924024640657
CIV,2014,51,60,325,43,368,0.11684782608695653
CIV,2015,74,74,363,42,405,0.1037037037037037
CIV,2016,67,67,389,49,438,0.11187214611872145
CIV,2017,85,96,441,59,500,0.118
CIV,2018,19,39,255,36,291,0.12371134020618557
CIV,2019,46,97,468,73,541,0.13493530499075784
CIV,2020,20,31,163,21,184,0.11413043478260869
CIV,2021,53,84,440,78,518,0.15057915057915058
CIV,2022,19,67,426,105,531,0.1977401129943503
CIV,2023,40,197,1195,247,1442,0.17128987517337033
CIV,2024,39,244,1594,457,2051,0.22281813749390542
COD,2019,15,15,101,16,117,0.13675213675213677
COD,2020,38,38,197,64,261,0.24521072796934865
COD,2021,2,2,2,0,2,0.0
COD,2022,197,1230,8035,1446,9481,0.1525155574306508
COD,2023,235,2091,14095,3404,17499,0.1945254014515115
COD,2024,261,2167,14616,3299,17915,0.18414736254535305
COL,2011,77,126,663,139,802,0.17331670822942644
COL,2012,358,802,5013,1533,6546,0.23418881759853347
COL,2013,214,695,3797,1241,5038,0.2463279078999603
COL,2014,202,848,4009,1452,5461,0.2658853689800403
COL,2015,347,715,5193,1601,6794,0.23564910214895496
COL,2016,860,1574,11393,3437,14830,0.23175994605529332
COL,2017,808,1667,12129,3726,15855,0.23500473036896877
COL,2018,943,1650,11663,3492,15155,0.2304190036291653
COL,2019,600,1192,7689,2459,10148,0.242313756405203
COL,2020,245,385,1727,558,2285,0.24420131291028446
COL,2021,491,651,2750,1051,3801,0.27650618258353066
COL,2022,780,1920,9864,3847,13711,0.2805776383925315
COL,2023,789,2641,15172,5831,21003,0.27762700566585724
COL,2024,812,2769,15879,7489,23368,0.3204809996576515
COM,2017,166,166,1069,116,1185,0.09789029535864979
COM,2018,45,45,239,27,266,0.10150375939849623
COM,2019,5,5,19,5,24,0.20833333333333334
COM,2020,45,45,407,58,465,0.12473118279569892
COM,2021,59,59,164,30,194,0.15463917525773196
COM,2022,33,33,153,31,184,0.16847826086956522
COM,2023,33,33,209,25,234,0.10683760683760683
COM,2024,7,7,21,19,40,0.475
CPV,2018,1,1,2,1,3,0.3333333333333333
CPV,2019,630,630,3613,672,4285,0.15682613768961493
CPV,2020,404,404,1904,289,2193,0.13178294573643412
CPV,2021,338,338,1713,310,2023,0.1532377656945131
CPV,2022,784,784,4010,863,4873,0.17709829673712293
CPV,2023,983,994,5452,1438,6890,0.20870827285921625
CPV,2024,557,568,3211,892,4103,0.21740190104801366
CUB,2017,286,331,1469,271,1740,0.1557471264367816
CUB,2018,634,813,3717,833,4550,0.18307692307692308
CUB,2019,650,964,4415,1045,5460,0.19139194139194138
CUB,2020,890,1136,4007,1026,5033,0.20385455990462945
CUB,2021,805,1234,6325,1152,7477,0.1540724889661629
CUB,2022,1218,1730,10005,1957,11962,0.16360140444741683
CUB,2023,1258,2108,13819,2889,16708,0.17291118027292315
CUB,2024,1098,2028,12608,2783,15391,0.18081995971671755
CYP,2018,77,87,353,57,410,0.13902439024390245
CYP,2019,115,120,533,67,600,0.11166666666666666
CYP,2020,62,62,231,34,265,0.12830188679245283
CYP,2021,12,15,84,11,95,0.11578947368421053
CYP,2022,188,212,933,180,1113,0.16172506738544473
CYP,2023,321,327,1488,280,1768,0.1583710407239819
CYP,2024,157,413,1529,396,1925,0.2057142857142857
CZE,2009,26,29,66,9,75,0.12
CZE,2010,11,12,35,2,37,0.05405405405405406
CZE,2011,9,9,58,4,62,0.06451612903225806
CZE,2012,34,38,182,17,199,0.08542713567839195
CZE,2013,29,34,177,4,181,0.022099447513812154
CZE,2014,55,64,391,50,441,0.11337868480725624
CZE,2015,54,60,428,57,485,0.11752577319587629
CZE,2016,82,82,612,55,667,0.08245877061469266
CZE,2017,78,93,735,57,792,0.07196969696969698
CZE,2018,79,83,481,64,545,0.11743119266055047
CZE,2019,93,97,523,89,612,0.1454248366013072
CZE,2020,76,76,304,60,364,0.16483516483516483
CZE,2021,55,70,242,46,288,0.1597222222222222
CZE,2022,47,47,355,49,404,0.12128712871287128
CZE,2023,131,520,1853,298,2151,0.13854021385402138
CZE,2024,124,736,2802,483,3285,0.14703196347031963
DEU,2021,9,15,45,4,49,0.08163265306122448
DEU,2022,172,273,1316,214,1530,0.13986928104575164
DEU,2023,109,142,782,146,928,0.15732758620689655
DEU,2024,55,127,650,106,756,0.1402116402116402
DJI,2023,79,79,545,59,604,0.09768211920529801
DJI,2024,50,50,292,49,341,0.1436950146627566
DNK,2014,3,3,9,5,14,0.35714285714285715
