country,year,n_news,n_images_people,male_total,female_total,people_total,female_ratio
RWA,2020,38,38,194,16,210,0.0761904761904762
RWA,2021,91,91,318,36,354,0.1016949152542373
RWA,2022,165,168,864,152,1016,0.14960629921259844
RWA,2023,132,132,766,110,876,0.12557077625570776
RWA,2024,78,81,424,79,503,0.15705765407554673
SAU,2023,11,11,62,3,65,0.046153846153846156
SAU,2024,18,18,108,17,125,0.136
SGP,2007,2,2,4,2,6,0.3333333333333333
SGP,2008,4,5,16,5,21,0.23809523809523808
SGP,2009,18,18,84,7,91,0.07692307692307693
SGP,2010,5,5,13,1,14,0.07142857142857142
SGP,2011,46,46,189,24,213,0.11267605633802817
SGP,2012,94,126,499,68,567,0.11992945326278659
SGP,2013,87,152,533,65,598,0.10869565217391304
SGP,2014,71,126,435,40,475,0.08421052631578947
SGP,2015,111,178,698,89,787,0.11308767471410419
SGP,2016,123,251,911,126,1037,0.12150433944069432
SGP,2017,104,240,1068,164,1232,0.1331168831168831
SGP,2018,145,274,1284,209,1493,0.13998660415271266
SGP,2019,162,333,1465,290,1755,0.16524216524216523
SGP,2020,52,115,423,82,505,0.16237623762376238
SGP,2021,73,307,832,171,1003,0.17048853439680958
SGP,2022,107,434,1753,420,2173,0.1932811780947998
SGP,2023,107,427,2031,459,2490,0.18433734939759036
SGP,2024,75,266,1232,295,1527,0.19318925998690242
SLE,2022,24,74,603,89,692,0.12861271676300579
SLE,2023,79,276,1932,402,2334,0.17223650385604114
SLE,2024,93,361,2208,507,2715,0.1867403314917127
SLV,2019,89,90,523,180,703,0.25604551920341395
SLV,2020,52,52,250,115,365,0.3150684931506849
SLV,2021,297,2509,9123,4583,13706,0.33437910404202537
SLV,2022,508,5404,24255,13290,37545,0.3539752297243308
SLV,2023,616,6980,33769,20042,53811,0.37245172920034936
SLV,2024,577,5598,26198,15592,41790,0.37310361330461833
SOM,2024,177,845,4565,561,5126,0.10944206008583691
SRB,2004,165,306,1307,57,1364,0.041788856304985335
SRB,2005,194,374,1923,102,2025,0.05037037037037037
SRB,2006,201,391,1896,118,2014,0.05858987090367428
SRB,2007,144,277,1372,136,1508,0.09018567639257294
SRB,2008,127,235,685,57,742,0.07681940700808626
SRB,2009,174,309,1252,143,1395,0.1025089605734767
SRB,2010,181,318,1218,106,1324,0.08006042296072508
SRB,2011,171,297,1009,122,1131,0.10786914235190097
SRB,2012,240,422,1461,127,1588,0.07997481108312343
SRB,2013,437,763,2956,329,3285,0.10015220700152207
SRB,2014,381,721,2840,270,3110,0.08681672025723473
SRB,2015,551,1045,3872,513,4385,0.11698973774230331
SRB,2016,526,1055,3917,545,4462,0.12214253697893321
SRB,2017,475,931,3431,546,3977,0.13728941413125473
SRB,2018,484,998,4249,882,5131,0.17189631650750342
SRB,2019,359,791,4596,1074,5670,0.18941798941798943
SRB,2020,239,443,2523,481,3004,0.16011984021304926
SRB,2021,461,1309,7238,1371,8609,0.1592519456382855
SRB,2022,444,1737,8964,1945,10909,0.17829315244293703
SRB,2023,434,1554,8726,2195,10921,0.2009889204285322
SRB,2024,173,679,3845,1118,4963,0.22526697561958492
SUR,2020,69,69,373,116,489,0.23721881390593047
SUR,2021,488,797,4017,812,4829,0.16815075585007247
SUR,2022,1441,3069,18132,3562,21694,0.1641928643864663
SUR,2023,1613,4069,25127,7189,32316,0.22245946280480258
SUR,2024,1503,3935,23882,6953,30835,0.22549051402626885
SVK,1970,2,2,7,3,10,0.3
SVK,2009,15,15,59,7,66,0.10606060606060606
SVK,2010,89,89,339,71,410,0.17317073170731706
SVK,2011,49,49,376,35,411,0.0851581508515815
SVK,2012,230,230,855,152,1007,0.1509433962264151
SVK,2013,533,533,2272,320,2592,0.12345679012345678
SVK,2014,524,524,2965,480,3445,0.13933236574746008
SVK,2015,409,409,2519,384,2903,0.132276954874268
SVK,2016,354,354,2145,424,2569,0.16504476449980537
SVK,2017,182,182,913,165,1078,0.15306122448979592
SVK,2018,53,53,270,49,319,0.1536050156739812
SVK,2019,9,9,51,7,58,0.1206896551724138
SVK,2020,16,16,63,8,71,0.11267605633802817
SVK,2021,19,19,72,17,89,0.19101123595505617
SVK,2022,10,10,31,9,40,0.225
SVK,2023,11,11,41,8,49,0.16326530612244897
SVK,2024,51,208,1135,194,1329,0.14597441685477802
SVN,2019,256,272,1594,403,1997,0.20180270405608414
SVN,2020,550,564,1983,347,2330,0.14892703862660944
SVN,2021,938,1039,3683,713,4396,0.16219290263876252
SVN,2022,679,731,3405,1032,4437,0.2325895875591616
SVN,2023,685,755,3817,1422,5239,0.27142584462683716
SVN,2024,631,719,3274,1251,4525,0.2764640883977901
SWE,2014,1,1,4,1,5,0.2
SWE,2015,4,12,46,9,55,0.16363636363636364
SWE,2016,3,6,19,5,24,0.20833333333333334
SWE,2017,6,6,36,9,45,0.2
SWE,2018,7,12,66,33,99,0.3333333333333333
SWE,2019,2,2,4,3,7,0.42857142857142855
SWE,2020,1,1,2,6,8,0.75
SWE,2021,1,1,1,1,2,0.5
SWE,2022,1,1,3,0,3,0.0
SWE,2023,12,14,71,20,91,0.21978021978021978
SWE,2024,28,37,203,35,238,0.14705882352941177
SYC,2010,103,103,357,44,401,0.10972568578553615
SYC,2011,128,128,568,74,642,0.11526479750778816
SYC,2012,187,187,850,99,949,0.10432033719704953
SYC,2013,185,185,572,114,686,0.1661807580174927
SYC,2014,160,160,658,84,742,0.11320754716981132
SYC,2015,172,172,734,127,861,0.14750290360046459
SYC,2016,156,156,637,138,775,0.17806451612903226
SYC,2017,325,325,1180,290,1470,0.19727891156462585
SYC,2018,270,270,1359,241,1600,0.150625
SYC,2019,303,303,1616,342,1958,0.17466802860061287
SYC,2020,193,193,1224,196,1420,0.13802816901408452
SYC,2021,223,223,925,145,1070,0.13551401869158877
SYC,2022,214,214,1280,197,1477,0.13337846987136087
SYC,2023,153,153,711,127,838,0.1515513126491647
SYC,2024,169,169,967,228,1195,0.1907949790794979
SYR,2013,2,2,2,0,2,0.0
SYR,2014,1,1,9,1,10,0.1
SYR,2015,53,53,297,26,323,0.0804953560371517
SYR,2016,50,71,416,26,442,0.058823529411764705
SYR,2017,45,71,414,13,427,0.03044496487119438
SYR,2018,1102,2413,14519,2194,16713,0.13127505534613773
SYR,2019,2074,4410,24737,4017,28754,0.13970230228837727
SYR,2020,2109,4115,20549,3020,23569,0.12813441384869956
SYR,2021,2428,4473,24263,3501,27764,0.1260985448782596
SYR,2022,2836,4368,21836,2905,24741,0.11741643425892244
SYR,2023,2194,3773,19542,2779,22321,0.12450159043053627
SYR,2024,2124,3070,15908,2186,18094,0.12081352934674477
TGO,2024,8,12,144,13,157,0.08280254777070063
TJK,2005,1,1,1,0,1,0.0
TJK,2006,1,1,1,0,1,0.0
TJK,2007,3,3,3,0,3,0.0
TJK,2008,3,3,7,0,7,0.0
TJK,2009,3,3,4,0,4,0.0
TJK,2010,4,4,8,0,8,0.0
TJK,2011,4,4,4,0,4,0.0
TJK,2012,266,925,6600,694,7294,0.09514669591445023
TJK,2013,338,2890,22682,2507,25189,0.09952757155901386
TJK,2014,251,2593,18534,2079,20613,0.10085868141464124
TJK,2015,247,3147,22717,2888,25605,0.11279047061120875
TJK,2016,270,3405,25662,4179,29841,0.14004222378606615
TJK,2017,198,2435,16281,2056,18337,0.11212302993946666
TJK,2018,190,2699,19071,2218,21289,0.10418525999342383
TJK,2019,225,3652,24273,3853,28126,0.13699068477565243
TJK,2020,109,2620,17025,2688,19713,0.13635671891645107
TJK,2021,186,4524,29535,6022,35557,0.16936186967404449
TJK,2022,376,7374,52797,8538,61335,0.13920273905600392
TJK,2023,478,8130,52858,8737,61595,0.14184592905268284
TJK,2024,494,8823,58700,10613,69313,0.15311701989525775
TKM,2016,44,44,285,32,317,0.10094637223974763
TKM,2017,696,696,4222,683,4905,0.13924566768603466
TKM,2018,876,876,6288,900,7188,0.12520868113522537
TKM,2019,1056,1056,7642,1220,8862,0.13766644098397654
TKM,2020,924,924,4895,585,5480,0.10675182481751824
TKM,2021,768,768,4372,471,4843,0.09725376832541813
TKM,2022,850,850,5057,625,5682,0.1099964801126364
TKM,2023,264,264,1180,171,1351,0.12657290895632864
TKM,2024,225,225,913,117,1030,0.11359223300970873
TLS,2010,216,231,1224,146,1370,0.10656934306569343
TLS,2011,203,205,1096,185,1281,0.1444184231069477
TLS,2012,102,103,606,61,667,0.09145427286356822
TLS,2013,198,221,1285,148,1433,0.10327983251919051
TLS,2014,123,152,832,94,926,0.10151187904967603
TLS,2015,134,192,975,128,1103,0.11604714415231188
TLS,2016,96,166,1058,165,1223,0.1349141455437449
TLS,2017,99,141,931,187,1118,0.167262969588551
TLS,2018,72,95,561,78,639,0.12206572769953052
TLS,2019,120,130,829,111,940,0.11808510638297873
TLS,2020,102,109,667,79,746,0.10589812332439678
TLS,2021,140,149,871,95,966,0.09834368530020704
TLS,2022,73,100,519,69,588,0.11734693877551021
TLS,2023,203,460,2513,454,2967,0.15301651499831478
TLS,2024,349,1142,6327,1196,7523,0.15897913066595773
TTO,2015,13,14,34,7,41,0.17073170731707318
TTO,2016,33,332,1230,325,1555,0.2090032154340836
TTO,2017,39,144,765,170,935,0.18181818181818182
TTO,2018,17,66,374,62,436,0.14220183486238533
TTO,2019,33,91,350,78,428,0.1822429906542056
TTO,2020,95,223,602,85,687,0.12372634643377002
TTO,2021,111,222,579,93,672,0.13839285714285715
TTO,2022,134,239,837,128,965,0.13264248704663212
TTO,2023,134,195,649,140,789,0.17743979721166034
TTO,2024,133,292,1336,291,1627,0.17885679164105717
TUR,2014,210,1671,11257,1630,12887,0.12648405369752463
TUR,2015,762,8903,60834,10766,71600,0.15036312849162012
TUR,2016,898,10966,75564,12059,87623,0.13762368327950425
TUR,2017,907,14866,96328,16425,112753,0.1456723989605598
TUR,2018,852,18752,122277,19058,141335,0.1348427494958786
TUR,2019,768,18260,124849,19033,143882,0.13228200886837826
TUR,2020,476,5075,31047,3282,34329,0.09560429957179062
TUR,2021,691,7049,44314,6558,50872,0.128911778581538
TUR,2022,770,10710,68210,11721,79931,0.14663897611690083
TUR,2023,614,8803,56279,9392,65671,0.14301594311035312
TUR,2024,440,6201,39976,6756,46732,0.14456903192673115
TWN,2007,18,18,64,10,74,0.13513513513513514
TWN,2008,132,132,520,68,588,0.11564625850340136
TWN,2009,48,48,203,33,236,0.13983050847457626
TWN,2010,35,35,200,15,215,0.06976744186046512
TWN,2011,260,267,1344,187,1531,0.12214239059438275
TWN,2012,222,224,1074,135,1209,0.11166253101736973
TWN,2013,238,242,1332,120,1452,0.08264462809917356
TWN,2014,210,210,1160,131,1291,0.10147172734314484
TWN,2015,227,227,1108,142,1250,0.1136
TWN,2016,204,430,2102,552,2654,0.2079879427279578
TWN,2017,224,945,5071,1471,6542,0.22485478446958118
TWN,2018,254,1113,6651,1746,8397,0.20793140407288319
TWN,2019,276,1197,7338,1911,9249,0.20661693156016867
TWN,2020,104,429,1970,561,2531,0.22165152113789016
TWN,2021,88,301,1293,391,1684,0.2321852731591449
TWN,2022,207,848,4977,1160,6137,0.1890174352289392
TWN,2023,258,1124,7120,2041,9161,0.2227922715860714
TWN,2024,219,885,5504,1187,6691,0.17740248094455238
TZA,2013,1,1,2,0,2,0.0
TZA,2015,1,1,6,1,7,0.14285714285714285
TZA,2016,57,67,342,41,383,0.10704960835509138
TZA,2017,47,91,463,74,537,0.1378026070763501
TZA,2018,76,152,782,144,926,0.15550755939524838
TZA,2019,100,228,1426,272,1698,0.160188457008245
TZA,2020,57,127,665,118,783,0.15070242656449553
TZA,2021,156,555,3325,732,4057,0.18042888834113877
TZA,2022,206,368,2008,584,2592,0.22530864197530864
TZA,2023,202,317,1906,580,2486,0.2333065164923572
TZA,2024,285,480,4127,805,4932,0.1632197891321979
UGA,2021,51,99,786,157,943,0.1664899257688229
UGA,2022,147,378,2780,685,3465,0.1976911976911977
UGA,2023,88,203,1534,391,1925,0.2031168831168831
UGA,2024,149,330,2196,493,2689,0.1833395314243213
UKR,2012,15,16,33,1,34,0.029411764705882353
UKR,2013,211,286,1174,105,1279,0.08209538702111024
UKR,2014,286,295,1448,110,1558,0.07060333761232349
UKR,2015,173,179,770,127,897,0.1415830546265329
UKR,2016,189,193,818,135,953,0.1416579223504722
UKR,2017,124,124,594,114,708,0.16101694915254236
UKR,2018,105,107,613,95,708,0.134180790960452
UKR,2019,411,1087,6562,1115,7677,0.14523902566106553
UKR,2020,501,1569,8682,1509,10191,0.14807182808360317
UKR,2021,471,2471,12444,2854,15298,0.18656033468427247
UKR,2022,1474,6796,28276,4449,32725,0.1359511077158136
UKR,2023,1833,8901,45437,8877,54314,0.16343852413742313
UKR,2024,1782,8993,43605,10524,54129,0.1944244305270742
URY,2000,3,3,8,1,9,0.1111111111111111
URY,2010,25,100,507,60,567,0.10582010582010581
URY,2011,895,1083,3860,717,4577,0.15665282936421238
URY,2012,2075,2136,7161,1379,8540,0.16147540983606556
URY,2013,2665,2708,9554,1982,11536,0.1718099861303745
URY,2014,1775,1849,7787,1856,9643,0.19247122264855335
URY,2015,2647,3132,13005,3241,16246,0.19949526037178383
URY,2016,2678,3487,15412,4141,19553,0.21178335805247275
URY,2017,2718,3089,12929,3533,16462,0.2146154780707083
URY,2018,2218,2437,10562,2677,13239,0.2022056046529194
URY,2019,1828,2283,10698,2830,13528,0.20919574216439976
URY,2020,968,1039,4991,1014,6005,0.16885928393005828
URY,2021,1118,1170,5272,1241,6513,0.19054199293720253
URY,2022,1268,1300,6849,1793,8642,0.20747512149965286
URY,2023,1341,1387,7725,2044,9769,0.20923328897533014
URY,2024,1166,1260,7102,2180,9282,0.23486317603964663
USA,2001,111,134,667,52,719,0.07232267037552156
USA,2002,385,558,2492,281,2773,0.1013342949873783
USA,2003,310,534,2505,274,2779,0.09859661748830514
USA,2004,313,614,2825,337,3162,0.10657811511701455
USA,2005,437,935,4325,529,4854,0.10898228265348167
USA,2006,513,937,4383,522,4905,0.10642201834862386
USA,2007,430,880,3950,513,4463,0.11494510419000672
USA,2008,466,980,4223,614,4837,0.12693818482530494
USA,2009,153,195,492,224,716,0.3128491620111732
USA,2010,185,283,1884,511,2395,0.21336116910229644
USA,2011,513,712,4469,1235,5704,0.2165147265077139
USA,2012,320,414,2594,746,3340,0.22335329341317364
USA,2013,322,454,2949,812,3761,0.21590002658867322
USA,2014,382,584,3416,947,4363,0.21705248682099473
USA,2015,305,1004,5407,1783,7190,0.24798331015299027
USA,2016,165,451,2218,690,2908,0.23727647867950483
USA,2017,96,270,1467,457,1924,0.23752598752598753
USA,2018,89,778,3424,1030,4454,0.2312528064660979
USA,2019,23,47,174,25,199,0.12562814070351758
USA,2020,70,112,492,126,618,0.20388349514563106
USA,2021,8,9,32,14,46,0.30434782608695654
USA,2022,8,8,31,13,44,0.29545454545454547
USA,2023,7,8,54,7,61,0.11475409836065574
USA,2024,1,1,13,0,13,0.0
UZB,2016,5,9,83,20,103,0.1941747572815534
UZB,2017,201,225,931,92,1023,0.08993157380254155
UZB,2018,344,746,4663,792,5455,0.14518790100824933
UZB,2019,405,1356,8022,1551,9573,0.16201817612033845
UZB,2020,367,1555,6760,481,7241,0.06642728904847396
UZB,2021,535,3746,19779,2238,22017,0.10164872598446655
UZB,2022,685,4213,24258,3500,27758,0.12608977592045537
UZB,2023,952,4180,23153,2953,26106,0.11311575882938787
UZB,2024,820,3541,20412,2089,22501,0.09284031820807964
VCT,2014,8,10,32,6,38,0.15789473684210525
VCT,2015,6,6,18,7,25,0.28
VCT,2016,12,16,63,7,70,0.1
VCT,2017,6,8,29,10,39,0.2564102564102564
VCT,2018,9,19,100,21,121,0.17355371900826447
VCT,2019,20,42,172,32,204,0.1568627450980392
VCT,2020,15,27,114,44,158,0.27848101265822783
VCT,2021,7,10,20,7,27,0.25925925925925924
VCT,2022,16,42,211,69,280,0.24642857142857144
VCT,2023,23,39,154,66,220,0.3
VCT,2024,9,22,80,31,111,0.27927927927927926
VEN,2018,1,1,6,4,10,0.4
VEN,2019,21,21,183,30,213,0.14084507042253522
VEN,2020,17,17,68,15,83,0.18072289156626506
VEN,2021,23,23,92,16,108,0.14814814814814814
VEN,2022,2,2,9,4,13,0.3076923076923077
VEN,2023,129,173,916,161,1077,0.14948932219127206
VEN,2024,641,1375,7286,2063,9349,0.22066531179805327
VNM,2022,9,13,63,5,68,0.07352941176470588
VNM,2024,1,1,2,0,2,0.0
WSM,2014,3,18,132,24,156,0.15384615384615385
WSM,2015,40,136,594,144,738,0.1951219512195122
WSM,2016,24,58,311,89,400,0.2225
WSM,2017,8,13,81,18,99,0.18181818181818182
WSM,2018,9,61,241,90,331,0.2719033232628399
WSM,2020,9,29,44,15,59,0.2542372881355932
WSM,2022,148,169,818,297,1115,0.2663677130044843
WSM,2023,230,232,989,334,1323,0.25245653817082386
WSM,2024,177,181,878,282,1160,0.24310344827586206
XKX,2022,65,186,1036,462,1498,0.308411214953271
XKX,2023,173,187,1111,416,1527,0.2724296005239031
XKX,2024,215,215,988,474,1462,0.32421340629274964
YEM,2018,1,1,1,0,1,0.0
YEM,2019,3,6,9,1,10,0.1
YEM,2021,13,18,61,11,72,0.1527777777777778
YEM,2022,3,3,7,0,7,0.0
YEM,2023,3,3,6,1,7,0.14285714285714285
YEM,2024,3,10,39,10,49,0.20408163265306123
ZAF,2014,1,1,1,0,1,0.0
ZAF,2015,5,11,50,6,56,0.10714285714285714
ZAF,2016,2,2,2,1,3,0.3333333333333333
ZAF,2018,3,4,18,3,21,0.14285714285714285
ZAF,2019,2,3,3,0,3,0.0
ZAF,2020,3,5,19,1,20,0.05
ZAF,2022,2,2,2,0,2,0.0
