country,year_min,year_max,n_images_all,n_images_people,n_male,n_female,n_people,female_ratio_totals,female_ratio_meanimg
SRB,2004.0,2024.0,13149,12829,58721,9474,68195,0.13892514113937973,0.11014068233095668
SRB,2021.0,2024.0,2208,2125,10551,2763,13314,0.2075259125732312,0.1865276050945712
SUR,2020.0,2024.0,14340,11939,71531,18632,90163,0.2066479598061289,0.21750457679076088
SVK,1970.0,2024.0,2655,2488,12870,2146,15016,0.14291422482685137,0.12126144988765052
SVK,2024.0,2024.0,193,189,1068,165,1233,0.13381995133819952,0.1213759638362813
SVN,2019.0,2024.0,4414,4080,17756,5168,22924,0.22544058628511604,0.22738774318022095
SWE,2014.0,2024.0,129,93,455,122,577,0.21143847487001732,0.24427378098855176
SYC,2015.0,2015.0,1,1,1,1,2,0.5,0.5
SYC,2010.0,2024.0,3199,2940,13637,2445,16082,0.15203332918791196,0.15223046694763986
SYR,2013.0,2024.0,839,802,4684,264,4948,0.05335489086499596,0.04615573684315336
SYR,2018.0,2024.0,37736,26018,137808,20404,158212,0.128966197254317,0.13875456496031954
TGO,2024.0,2024.0,12,12,144,13,157,0.08280254777070063,0.10942798171900338
TJK,2005.0,2024.0,58136,53087,365857,56916,422773,0.13462543729140697,0.11267412551374814
TJK,2014.0,2024.0,154,149,906,156,1062,0.14689265536723164,0.12758895235155962
TKM,2016.0,2024.0,6800,5703,34854,4804,39658,0.12113571032326391,0.12414843354207489
TLS,2010.0,2024.0,3316,3114,17471,2695,20166,0.13364078151343847,0.13641047415777188
TTO,2015.0,2024.0,449,417,1377,265,1642,0.16138855054811205,0.1357328025128164
TTO,2015.0,2024.0,1572,1401,5379,1114,6493,0.17156938241182812,0.14418368366598622
TUR,2014.0,2024.0,112073,111256,730935,116680,847615,0.13765683712534582,0.12303913398469521
TWN,2007.0,2024.0,8352,8178,46169,11223,57392,0.19554990242542514,0.25600156701155796
TWN,2013.0,2024.0,515,497,2862,638,3500,0.18228571428571427,0.186472487671633
TZA,2013.0,2024.0,1901,1885,11892,2586,14478,0.17861583091587235,0.19871630292872874
TZA,2017.0,2024.0,502,502,3160,765,3925,0.19490445859872613,0.2257325161550788
UGA,2021.0,2024.0,1036,1009,7295,1725,9020,0.19124168514412418,0.2032323571103946
UKR,2019.0,2024.0,29662,28755,141675,28765,170440,0.16876906829382773,0.1567301836612088
UKR,2012.0,2024.0,2783,2262,8781,1250,10031,0.12461369753763334,0.1206907135350399
